Reference;Configuration;Price;Discount;Minimum Price ES;Minimum Price EN;Level 1;Level 2;Collection;Item name;Description;Configuration name;English name;English description;French name;French description;Italian name;Italian description;Portuguese name;Portuguese Description;Image name;assembly instructions;Stock;Date;EAN;Width;Height;depth;Dimension;Minimun Height;maximum height;Price in dollars;;Weight;Volume packaging ;"Sizes of carton No.1; width";"Sizes of carton No.1; height";"Sizes of carton No.1; depth";Packaging weight 1:;"Sizes of carton No.2; width";"Sizes of carton No.2; height";"Sizes of carton No.2; depth";Packaging weight 2:;"Sizes of carton No.3; width";"Sizes of carton No.3; height";"Sizes of carton No.4; depth";Packaging weight 3:;"Sizes of carton No.4; width";"Sizes of carton No.4; height";"Sizes of carton No.4; depth";Packaging weight 4:;Energy class:;IP;Electric class:;Power:;Voltage:;Frecuency:;Lumen:;Dimmable:;regulation;OUTPUT POWER;POWER INTENSITY;Colour temperature:;Average lifespan:;Power factor:;CRI;Lampholder bulb1;Quantity of light bulb1;bulbs included;Power bulb1;Voltage Bulb1;Frecuency Bulb1;Lumen bulb1;Colour temperature Bulb1;Averge lifespan bulb1;Power factor bulb1;CRI bulb1;Lampholder bulb2;Quantity of light bulb2;Power bulb2;Voltage Bulb2;Frecuency Bulb2;Lumen bulb2;Colour temperature Bulb2;Averge lifespan bulb2;Power factor bulb2;CRI bulb2;Material;Finish;Assembling time by customer:;"Sizes of the Shade/glass shade; width";"Sizes of the Shade/glass shade; height";"Sizes of the Shade/glass shade; depth";"Sizes of the Shade/glass shade; diameter";"Sizes of the canopy; width";"Sizes of the canopy; height";"Sizes of the canopy; depth";"Sizes of the canopy; depth";Cable colour;Size of the mirror plate,width:;Size of the mirror plate,high:;Width of the frame;Top thickness;Extendable table?;seat height:;seat width:;seat depth;back width:;back height;Material:;removable cover;adjustable;Only UK plug
124011;;120;0;192;210;1;2;Quios;PLAFÓN ·QUIOS· 4L;Plafón de 4 luces con tulipa compuesta por placas de policarbonato de superficie corrugada. Estructura realizada en metal, acabado blanco roto mate. Difusor inferior.;;·QUIOS· CEILING LAMP, 4L.;Ceiling lamp with shade composed by polycarbonated plates of corrugated surface. Frame made of metal, matt off-white finish. Lower diffuser.;PLAFONNIER ·QUIOS· 4L;Plafonnier avec tulipe composée par des plaques de polycarbonate à surface ondulée. Structure faite en métal, finition blanc cassé mat. Diffuseur inférieur.;PLAFONIERA ·QUIOS· 4L;Plafoniera con paralume di placche di policarbonato a superficie corrugata. Struttura in metallo bianco avorio opaco. Diffusore inferiore.;TETO ·QUIOS· 4L;Teto com tulipa composta por placas de policarbonato de superfície enrugada. Estrutura realizada em metal, acabamento branco sujo mate. Difusor inferior.;124011.jpg;124011, 124123.pdf;50;29/02/2020;8,44E+12;0;16;0;46;0;0;57;0;3,17;0,062;53;22;53;5;0;0;0;0;0;0;0;0;0;0;0;0;A+;;Class 1;4x20W;110/220 V;50/60 Hz;3.600;;;0;0;0;0;0;0;E27;4;Sí;10W;110/220 V;50/60 Hz;900;3.000;30.000;1;80;;0;;;;0;0;0;0;0;Policarbonato y metal;Blanco mate;0;0;0;0;0;0;3;0;13;;0;0;0;0;;0;0;0;0;0;;;;No
124346;;156;0;250;273;1;1;Quios;COLGANTE ·QUIOS· 5L.;Lámpara de 5 luces, con tulipa compuesta por placas de policarbonato de superficie corrugada. Estructura realizada en metal, acabado blanco roto mate. Difusor inferior.;;·QUIOS· PENDANT, 5L.;Pendant with shade composed by polycarbonated plates of corrugated surface. Frame made of metal, matt off-white finish. Lower diffuser.;PENDANTE ·QUIOS· 5L.;Pendante avec tulipe composée par des plaques de polycarbonate à surface ondulée. Structure faite en métal, finition blanc cassé mat. Diffuseur inférieur.;LAMP. SOSP. ·QUIOS· 5L;Lampada a sospensione con paralume di placche di policarbonato a superficie corrugata. Struttura in metallo bianco avorio opaco. Diffusore inferiore.;PINGENTE ·QUIOS· 5L.;Pingente com tulipa composta por placas de policarbonato de superfície enrugada. Estrutura realizada em metal, acabamento branco sujo mate. Difusor inferior.;124346.jpg;124346, 124465.pdf;26;28/02/2020;8,44E+12;0;21;0;46;50;150;76;0;3,78;0,079;54;27;54;6;0;0;0;0;0;0;0;0;0;0;0;0;A+;;Class 1;5x20W;110/220 V;50/60 Hz;4.500;;;0;0;0;0;0;0;E27;5;Sí;10W;110/220 V;50/60 Hz;900;3.000;30.000;1;80;;0;;;;0;0;0;0;0;Policarbonato y metal;Blanco mate;0;0;0;0;0;0;4;0;13;Transparente;0;0;0;0;;0;0;0;0;0;;;;No
124465;;183;0;293;320;1;1;Quios;COLGANTE ·QUIOS· 6L;Lámpara de 6 luces, con tulipa compuesta por placas de policarbonato de superficie corrugada. Estructura realizada en metal, acabado blanco roto mate. Difusor inferior.;;·QUIOS· PENDANT, 6L.;Pendant with shade composed by polycarbonated plates of corrugated surface. Frame made of metal, matt off-white finish. Lower diffuser.;PENDANTE ·QUIOS· 6L;Pendante avec tulipe composée par des plaques de polycarbonate à surface ondulée. Structure faite en métal, finition blanc cassé mat. Diffuseur inférieur.;LAMP. SOSP. ·QUIOS· 6L;Lampada a sospensione con paralume di placche di policarbonato a superficie corrugata. Struttura in metallo bianco avorio opaco. Diffusore inferiore.;PINGENTE ·QUIOS· 6L;Pingente com tulipa composta por placas de policarbonato de superfície enrugada. Estrutura realizada em metal, acabamento branco sujo mate. Difusor inferior.;124465.jpg;124346, 124465.pdf;53;29/02/2020;8,44E+12;0;21;0;54;50;150;90;0;5;0,106;62;28;61;8;0;0;0;0;0;0;0;0;0;0;0;0;A+;;Class 1;6x20W;110/220 V;50/60 Hz;5.400;;;0;0;0;0;0;0;E27;6;Sí;10W;110/220 V;50/60 Hz;900;3.000;30.000;1;80;;0;;;;0;0;0;0;0;Policarbonato y metal;Blanco mate;0;0;0;0;0;0;4;0;13;Transparente;0;0;0;0;;0;0;0;0;0;;;;No
127011;;48;0;77;84;4;2;Orio;ESPEJO ·ORIO· CUAD. 51X51 ORO;Espejo cuadrado con marco de DM acabado en pan de oro.;;·ORIO· SQUARE MIRROR, 51x51, GOLDEN;Square mirror with MDF mirror, finished in gold leaf.;MIROIR ·ORIO· CAR. 51X51 OR;Miroir carré avec cadre en DM finition feuille d’or;SPECC. ·ORIO· QUAD. 51X51 ORO;Specchio quadrato a cornice in fibra rifinita in lamina d’oro.;ESPELHO ·ORIO· QUAD. 51X51 D.;Espelho quadrado com moldura de DM com acabamento em folha de ouro.;127011.jpg;;39;20/06/2020;8,44E+12;50,5;50,5;4;0;0;0;0;0;5;0,045;61;61;12;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo, DM;Pan de oro;0;0;0;0;0;0;0;0;0;;50;50;1;0;;0;0;0;0;0;;;;No
127127;;78;0;125;137;4;2;Orio;ESPEJO ·ORIO· RECT 61X81 ORO;Espejo cuadrado con marco de DM acabado en pan de oro.;;·ORIO· RECT. MIRROR, 61x81, GOLDEN;Rectangular mirror with MDF frame, finished in gold leaf.;MIROIR ·ORIO· RECT 61X81 OR;Miroir carré avec cadre en DM finition feuille d’or;SPECC. ·ORIO· RETT. 61X81 ORO;Specchio rettangolare a cornice in fibra rifinita in lamina d’oro.;ESPELHO ·ORIO· RECT 61X81 D.;Espelho quadrado com moldura de DM com acabamento em folha de ouro.;127127.jpg;;57;20/06/2020;8,44E+12;61;81;4;0;0;0;0;0;7,25;0,084;91;71;13;9;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo, DM;Pan de oro;0;0;0;0;0;0;0;0;0;;60;80;1;0;;0;0;0;0;0;;;;No
127233;;54;0;86;95;4;2;Orio;ESPEJO ·ORIO· OVAL 51X61 ORO;Espejo ovalado con marco de DM acabado en pan de oro.;;·ORIO· OVAL MIRROR 51x61 GOLD;Oval mirror with MDF frame finished in gold leaf.;MIROIR ·ORIO· OVAL 51X61 OR;Miroir ovale avec cadre en DM finition feuille d’or;SPECC. ·ORIO· OVALE 51X61 ORO;Specchio ovale a cornice in fibra rifinita in lamina d’oro.;ESPELHO ·ORIO· OVAL 51X61 D.;Espelho ovalado com moldura de DM com acabamento em folha de ouro.;127233.jpg;;41;08/05/2020;8,44E+12;51;61;4;0;0;0;0;0;4,98;0,055;71;61;13;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo, DM;Pan de oro;0;0;0;0;0;0;0;0;0;;50;60;1;0;;0;0;0;0;0;;;;No
127387;;75;0;120;131;4;2;Orio;ESPEJO ·ORIO· TRIANG.ORO 84X55;Espejo triangular con marco de DM acabado en pan de oro.;;·ORIO· TRIANGULAR MIRROR 84x55, GOLDEN;Triangular mirror with MDF frame finished in gold leaf.;MIROIR ·ORIO· TRIANG.OR 84X55;Miroir triangulaire avec cadre en DM finition feuille d’or;SPECC. ·ORIO·TRIANG. ORO 84X55;Specchio triangolare a cornice in fibra rifinita in lamina d’oro.;ESPELHO ·ORIO· TRIANG. D.84X55;Espelho triangular com moldura de DM com acabamento em folha de ouro.;127387.jpg;;21;06/03/2020;8,44E+12;55;84;4;0;0;0;0;0;6,86;0,066;93;65;11;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Espejo, DM;Pan de oro;0;0;0;0;0;0;0;0;0;;83;55;1;0;;0;0;0;0;0;;;;No
1280;;4;100;0;0;1;9;Tulipas Mosaico;TULIPA MOSAICO VERDE;Tulipa mosaico realizada con cristal de color verde, para portalámparas E14.;;GREEN MOSAIC GLASS SHADE;Mosaic glass shade made with green glass, for E14 lampholder.;TULIPE MOSAÏQUE VERT;;PARALUME MOSAICO VERDE;;;;1280.jpg;;70;;8,44E+12;10;9;10;10;0;0;0;0;0,24;0,002;13;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
130963;;87;0;139;152;4;1;Celia;ESPEJO ·CELIA· RECTANGULAR;Espejo rectangular con marco formado por lunas biseladas. Trasera de DM acabado en color negro. Preparado para colgar en posición horizontal o vertical.;;·CELIA· RECTANGULAR MIRROR;Rectangular mirror with frame formed by bevelled mirror plates. Back of MDF finished in black colour. Ready to hang in horizontal or vertical position.;MIROIR.CELIA. RECTANGULAIRE;Miroir rectangulaire avec cadre formé par des glaces biseautées. Fond en Agglo finition en couleur noire. Préparé pour suspendre en position horizontale ou verticale.;SPECCHIO ·CELIA· RETTANGOLARE;Specchio rettangolare a cornice di specchi bisellati. Parte posteriore in fibra color nero. Collocabile in posizione orizzontale o verticale.;ESPELHO ·CELIA· RETANGULAR;Espelho retangular com moldura formada por luas biseladas. Traseira de DM acabamento em cor preta. Preparado para pendurar em posição horizontal ou vertical.;130963.jpg;;24;01/05/2020;8,44E+12;60;90;2;0;0;0;0;0;9,5;0,053;68;98;8;11;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;Cristal, DM;Espejo plata , lacado negro;0;0;0;0;0;0;0;0;0;;35;60;12;0;;0;0;0;0;0;;;;No
1361;;6;100;0;0;1;9;Tulipas;TULIPA  CRISTALES VERDE;Tulipa de cuentas de cristal verde.;;SHADE OF GREEN GLASSES;Shade of green glass beads.;TULIPE  VERRE VERT;Tulipe en perles de verre vert.;PARALUME PERLINE VERDI;Paralume a perline di vetro verde;;;1361.jpg;;21;;8,44E+12;8;16;8;8;0;0;0;0;0,14;0,001;10;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
1419;;7;100;0;0;1;9;Tulipas;TULIPA CRISTALES BLANCO MATE;Tulipa de cuentas de cristal blanco mate.;;MATT WHITE GLASS SHADE;Shade of matt white glass beads.;TULIPE VERRE BLANC MAT;Tulipe en perles en verre blanc mat.;PARALUME PERLINE OPACO BIANCO;Paralume a perline di vetro bianco opaco.;;;1419.jpg;;16;;8,44E+12;8;16;8;8;0;0;0;0;0,16;0,001;10;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
1465;;4;100;0;0;1;9;Tulipas;TULIPA FIORA;Tulipa de cristal transparente moteado. Realizadas y decoradas artesanalmente. Diametro de la boca 4 cm.;;Fiora glass shade;Clear glass shade, dotted. Craftwork manufactured.;TULIPE FIORA;Tulipe en verre transparent tacheté. Faite et décorée artisanalement. Diamètre de l'ouverture 4 cm.;PARALUME FIORA;Paralume di vetro trasparente maculato, realizzato e decorato artigianalmente. Diametro apertura 4 cm.;;;1465.jpg;;208;;8,44E+12;9;10;9;9;0;0;0;0;0,14;0,001;12;11;12;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
1472;;6;0;10;11;0;0;;JUEGO CAD.CRISTAL AMATISTA;;;Chain set amathyst crystals;;;;;;;;1472.jpg;;9;01/04/2020;8,44E+12;2,5;8;1;0;0;0;0;0;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;;;;No
148193;;114;0;182;200;1;2;Hole;PLAFON LED ·HOLE· PLATA Ø42;Plafón de iluminación LED, realizado en metal acabado blanco roto mate. Aro inferior acabado en PAN DE PLATA con difusor acrílico opal. 22,5W LED. 2.025 lm. 3.000 K.;;·HOLE· LED CEILING LAMP SILVER, Ø42;LED ceiling lamp, made of metal, matt off-white finish. Lower ring finished in SILVER LEAF with opal acrylic diffuser. 22,5W LED. 2.025 lm. 3.000K.;PLAFONN. LED ·HOLE· ARGENT Ø42;Plafonnier éclairage LED, réalisé en métal finition blanc cassé mat. Anneau inférieur finition en FEUILLE D’ARGENT avec diffuseur acrylique opale. 22,5W LED. 2.025 lm. 3.000 K.;PLAFON. LED ·HOLE· ARGENT. Ø42;Plafoniera a luce LED, in metallo rifinito in color bianco avorio opaco. Anello inferiore rifinito in LAMINA D’ARGENTO con diffusore acrilico opalescente. 22,5W LED. 2.025 lumen. 3.000 K.;TETO LED ·HOLE· PRATEADO Ø42;Candeeiro de teto de iluminação LED realizado em metal acabamento branco sujo mate. Aro inferior acabamento em FOLHA DE PRATA com difusor acrílico opalino. 22,5W LED. 2 025 lm. 3 000 K.;148193.jpg;148277, 148193.pdf;27;28/02/2020;8,44E+12;0;9;0;42;0;0;56;0;1,38;0,04;50;16;50;3;0;0;0;0;0;0;0;0;0;0;0;0;;;Class 1;22,5W;220 V;50/60 Hz;2.025;NO;;25;0;3.000;0;0;0;;0;;;;;0;0;0;0;0;;0;;;;0;0;0;0;0;;;0;0;0;0;0;0;6;0;42;;0;0;0;0;;0;0;0;0;0;;;;No
