"idoxatis";"sku";"nombre";"stock";"pvprecomendado";"ean"
18798678;673938;Aplique Lucia Schuller - Tulipa cristal - LED;45;38,00;8,44E+12
18820779;541450;Lampara Nova Schuller - transparente 80cm LED;12;798,00;8,44E+12
18821255;542013;Lampara Nova Schuller - transparente 50cm LED;11;339,00;8,44E+12
18876045;112512;Espejo Mercury Schuller - 5 lunas 118x44;24;126,00;8,44E+12
18876109;130963;Espejo Celia Schuller - Espejo 90x60;24;87,00;8,44E+12
18943334;682642;Colgante Swing LED Blanco. 3 tama?os  SCHULLER.;0;;
18943335;E-682518;Colgante Swing Schuller - 3 tama?os pantalla - LED;1;398,00;
18943336;682790;Colgante Swing LED Blanco. 3 tama?os  SCHULLER.;0;;
18946035;161022;Espejo Fusion Schuller - 150x110;22;432,00;8,44E+12
18967546;183201;Espejo Leila Schuller - Marco Esferas;51;96,00;8,44E+12
18967580;195381;Espejo Elisa Schuller - Vestidor de pie;32;189,00;8,44E+12
18967721;29-E07/150;Espejo Roma Schuller - rectangular 150;55;189,00;8,44E+12
18967819;29-E07/90;Espejo Roma Schuller - rectangular 90;56;138,00;8,44E+12
18967835;29-E13;Espejo Zeus Schuller - Marco escalonado;58;252,00;8,44E+12
18967884;29-E35;Espejo Alberta Schuller - Marco espejo ?80;19;219,00;8,44E+12
18967898;29-E45;Espejo Dreams Schuller - Espejos irregulares 121x80;13;;8435435302047
18967902;29-E47;Espejo Sorrento Schuller - Veneciano;3;591,00;8,44E+12
19130417;385314;Espejo Aros Schuller marco espejo ?120;91;297,00;8,44E+12
19130422;385415;Espejo Alhambra Schuller 120x87;12;234,00;8,44E+12
19130425;386113;Espejo City Schuller - Moderno 140x68;19;258,00;8,44E+12
19133870;651320;Espejo Irina Schuller - marco curvo 200x90;29;456,00;8,44E+12
19133970;651431;Espejo Curves Schuller - 160x70;10;327,00;8,44E+12
19134031;651542;Espejo Curves Schuller - 103x75;19;219,00;8,44E+12
19134398;786136;Bajorrelieve Fosil Schuller - Cuadro 60x60;47;111,00;8,44E+12
19134441;786351;Bajorrelieve Skull Schuller - Cuadro calavera espejo;6;96,00;8,44E+12
19214530;552307;Mesa de centro cristal curvado 110 cm. serie Glass. SCHULLER;7;;
19214534;552522;Mesa Glass Schuller - Mueble auxiliar cristal con ruedas;36;105,00;8,44E+12
19235808;532115;Sill?n en piel Italiana serie Amanda.   SCHULLER;2;990,00;8,44E+12
21396380;827494;Lampara Eire Schuller - 6 colgantes - Luz LED;2;;8435435317492
21418465;436218;Colgante Quasar Schuller - tulipa plata luz LED;46;90,00;8,44E+12
21418478;436462;Sobremesa Quasar Schuller - Tulipa plata luz LED;14;111,00;8,44E+12
21419786;436631;Aplique Quasar Schuller - Tulipa Cromo;26;60,00;8,44E+12
21420543;E-102048;Colgante de copens. 2 tama?os serie Elis.   SCHULLER;0;;
21420544;102219;Colgante de copens. 2 tama?os serie Elis.   SCHULLER;1;;
21524121;854275;Colgante Diva Schuller - L?mpara LED redonda;0;90,00;8,44E+12
21524263;854416N;L?mpara Diva Schuller - 3 Colgantes cuadrados LED;25;189,00;8,44E+12
21524341;854537;Lampara Diva Schuller - 4 Colgantes cuadrados LED;1;;8435435323639
21524387;854321;L?mpara Diva Schuller - 2 Colgantes ovalados LED;18;243,00;8,44E+12
21524398;854683;Aplique Diva Schuller - Abalorios cristal - LED;93;48,00;8,44E+12
21527961;736210;Lampara de pie Linur Schuller - LED graduable;49;189,00;8,44E+12
21528096;736321;Sobremesa Linur Schuller - Moderno 2 Barras LED;4;78,00;8,44E+12
21528114;736543;Lampara Linur Schuller - 2 barras iluminacion LED;7;141,00;8,44E+12
21528174;736432;Plafon Linur Schuller - 2 barras modernas con luz LED;6;;8435435317041
21528320;456342;Plaf?n Dana Schuller - Acero y cristal 3 Tama?os. Placa LED;70;63,00;8,44E+12
21528321;456231;Plaf?n Dana Schuller - Acero y cristal 3 Tama?os. Placa LED;42;99,00;8,44E+12
21528322;456120;Plaf?n Dana Schuller - Acero y cristal 3 Tama?os. Placa LED;34;132,00;8,44E+12
21528341;456453;Lampara Dana Schuller - Colgante cristal luz LED;85;135,00;8,44E+12
21528427;679215N;L?mpara Cala Schuller - 2 colgantes Iluminaci?n LED;30;192,00;8,44E+12
22249636;741563;Lampara Orbita Schuller - 4 focos de luz LED;6;147,00;8,44E+12
22250232;683759;Lampara Nao Schuller - 2 barras lineales LED;9;;8435435317003
22250280;513712;Aplique Briana Schuller - Pan de oro - LED;17;;8435435316402
22250281;513646;Lampara de techo plata 6 u 8 pantallas.    Serie Briana Schuller;6;;
22250282;513825;Lampara Briana Schuller - Pan de plata 6 u 8 pantallas;2;825,22;8435435316426
22250506;618859;Colgante Caelum Schuller - Tulipa Cobre LED;2;285,00;8,44E+12
22250511;746709;Lampara Odissey Schuller - 6 barras LED;9;232,00;8,44E+12
22250517;447510D;Lampara Anisia Schuller - 3 modulos de luz LED y mando;0;;8435435322830
22250518;447510;Lampara Anisia Schuller - 3 modulos de luz LED;23;636,00;8,44E+12
22259244;641942;Colgante Laia Schuller - tulipa azul vintage - LED;14;90,00;8,44E+12
22259263;642053;Colgante Laia Schuller - tulipa ambar vintage - LED;55;90,00;8,44E+12
22260649;563958;Plafon Mare Schuller - Lampara cromo abalorios;10;189,00;8,44E+12
22263229;257685;Lampara Laura Schuller - Colgante blanco y oro - LED;27;102,00;8,44E+12
22263286;520783;L?mpara Holandesa Schuller - Cromo 6 luces penduloques;13;288,00;8,44E+12
22545951;480531/4834;Aplique Florentino Schuller - 2 luces con pantallas;57;;8435435304683
24216765;793301;Colgante Sphere Schuller 1 bola cromo ?12cm LED;94;54,00;8,44E+12
24216773;793412;Colgante Sphere Schuller 1 bola cromo ?20cm LED;15;114,00;8,44E+12
24216778;793523;Colgante Sphere Schuller 5 bolas cromo LED;56;231,00;8,44E+12
24216782;793635;Lampara Sphere Schuller - lineal 4 bolas cromo LED;40;207,00;8,44E+12
24216790;793746;Colgante Sphere Schuller 14 bolas cromo LED;5;429,00;8,44E+12
24216798;756853;Lampara Katia Schuller - redonda Acero 14 luces LED;14;990,00;8,44E+12
24221183;756729;Lampara Katia Schuller - Acero 10 luces LED;5;498,00;8,44E+12
24238617;266753;Aplique Narisa Schuller. Rosa/blanco/cromo;16;90,00;8,44E+12
24238618;266724;Aplique Narisa Schuller. Rosa/blanco/cromo;41;93,00;8,44E+12
24238619;266782N;Aplique Narisa Schuller. Rosa/blanco/cromo;54;93,00;8,44E+12
24238879;266028;Colgante Narisa Schuller ?18cm. Rosa/cromo;66;66,00;8,44E+12
24238880;266035N;Colgante Narisa Schuller ?18cm. Rosa/cromo;130;66,00;8,44E+12
24238904;266172;Colgante Narisa Schuller ?32cm Oro Rosa.;2;123,00;8,44E+12
24239188;266426;Lampara Narisa Schuller 5 colgantes. Rosa/blanco/cromo;18;189,00;8,44E+12
24239189;266401;Lampara Narisa Schuller 5 colgantes. Rosa/blanco/cromo;1;;
24239190;266492;Lampara Narisa Schuller 5 colgantes. Rosa/blanco/cromo;6;;
24240872;266290;Colgante Narisa Schuller ?46cm. Rosa/blanco/cromo;53;192,00;8,44E+12
24240873;266284;Colgante Narisa Schuller ?46cm. Rosa/blanco/cromo;84;192,00;8,44E+12
24240874;266251N;Colgante Narisa Schuller ?46cm. Rosa/blanco/cromo;18;231,00;8,44E+12
24240881;266580;Sobremesa Narisa Schuller - Rosa/blanco/cromo;2;;8435435318833
24240882;266577;Sobremesa Narisa Schuller - Rosa/blanco/cromo;6;174,00;8,44E+12
24240883;266544N;Sobremesa Narisa Schuller - Rosa/blanco/cromo;0;165,00;8,44E+12
24240896;266630;Lampara de Pie Narisa Schuller - Rosa/blanco/cromo;7;;8435435322229
24240897;266695;Lampara de Pie Narisa Schuller - Rosa/blanco/cromo;6;297,00;8,44E+12
24240898;266616N;Lampara de Pie Narisa Schuller - Rosa/blanco/cromo;7;297,00;8,44E+12
24240905;266909;Plafon Narisa Schuller ?32cm. Rosa/blanco/cromo;26;;
24240906;266946;Plafon Narisa Schuller ?32cm. Rosa/blanco/cromo;25;147,00;8,44E+12
24240907;266973N;Plafon Narisa Schuller ?32cm. Rosa/blanco/cromo;8;147,00;8,44E+12
24240911;266847;Plafon Narisa Schuller ?46cm. Rosa/blanco/cromo;22;198,00;8,44E+12
24240912;266866;Plafon Narisa Schuller ?46cm. Rosa/blanco/cromo;34;231,00;8,44E+12
24240913;266822N;Plafon Narisa Schuller ?46cm. Rosa/blanco/cromo;15;231,00;8,44E+12
24240922;266369;Lampara Narisa Schuller - Rosa/blanco/cromo;26;;8435435318772
24422974;569120;Espejo Aurora Schuller - Espejo rectangular pan de plata;25;228,00;8,44E+12
24423304;593364;Espejo Aurora Schuller - Espejo redondo pan de plata;56;240,00;8,44E+12
24423383;794172;Espejo Sphere Schuller - Espejo semiesferas cristal;15;234,00;8,44E+12
24423389;490633;Espejo Love Schuller - Espejo bitono Love cristal;48;96,00;8,44E+12
24427947;852508;Espejo Rizos Schuller - Espejo marco rizos cristal;24;231,00;8,44E+12
24455228;654522;Lampara Aqua Schuller - Lampara lineal 3 colgantes;8;;8435435319748
24455317;654639;Lampara Aqua Schuller - Lampara redonda 3 colgantes;38;197,00;8,44E+12
24459317;29-E07/178;Espejo Roma Schuller - 178x80;48;330,00;8,44E+12
24459414;195627;Espejo Elisa Schuller - Marco espejos 105x74;48;111,00;8,44E+12
24459503;287506;Espejo N?car Schuller - Espejo 120x80 marco nacar;13;177,00;8,44E+12
24472638;924713;Espejo Avenue Schuller - Marco Espejo 80x120;68;132,00;8,44E+12
24590099;783753;L?mpara Rocio Schuller - 3 Colgantes cromo LED;29;150,00;8,44E+12
26018694;783618;L?mpara Rocio Schuller - Lineal 5 luces Cromo LED;21;243,00;8,44E+12
27088376;124011;Plafon Quios Schuller - ?46cm. blanco LED.;50;120,00;8,44E+12
27088512;E-568581;Lampara Anastasia Schuller - colgante ? 50cm. LED;2;274,00;8435435320577
27088519;568672;Lampara Anastasia Schuller - 3 colgantes ? 62cm. LED;18;276,00;8,44E+12
27095467;625211;Lampara Flavia Schuller - Lineal 4 bolas LED;7;147,00;8,44E+12
27095708;625432;Lampara Flavia Schuller - colgante cromo bola LED;17;38,00;8,44E+12
27095746;625654;Plafon Flavia Schuller - Lampara 4 luces bola LED;6;116,00;8,44E+12
27095770;625769;Aplique Flavia Schuller - Cromo bola LED;8;38,00;8,44E+12
27103211;793091;Lampara Sphere Schuller - colores 9 bolas LED;10;411,00;8,44E+12
27103283;793258;Colgante Sphere Schuller 14 bolas colores LED;45;636,00;8,44E+12
27590332;793429;Colgante Sphere Schuller - ? 12cm tono laton;20;63,00;8,44E+12
27590344;793534;Lampara Sphere Schuller - 5 colgantes colores LED;16;243,00;8,44E+12
27590450;793659;Lampara Sphere Schuller - 4 colgantes colores LED;1;210,00;8,44E+12
27590517;794017;Plafon Sphere Schuller - Lampara 3 Bolas cromo LED;7;132,00;8,44E+12
27590758;794025;Plafon Sphere Schuller - Lampara 3 Bolas multicolor LED;0;141,00;8,44E+12
27590815;794496;Sobremesa Sphere Schuller - ?12cm Tono laton Luz LED;12;60,00;8,44E+12
27590957;794539;Sobremesa Sphere Schuller - ?20cm Tono laton Luz LED;18;126,00;8,44E+12
27591646;507939D;Plafon Argos Schuller - Plafon ?40cm espejo Argos - con mando;0;195,00;8,44E+12
27591647;507939;Plafon Argos Schuller - Plafon ?40cm espejo Argos;45;159,00;8,44E+12
27763561;793269D;Lampara Sphere Schuller - 14 Colgantes cromo LED dimable;0;642,00;8,44E+12
27763562;793269;Lampara Sphere Schuller - 14 Colgantes cromo LED dimable;14;612,00;8,44E+12
30534264;373091;Colgante Varas Schuller - acabado Oro 1 luz LED;32;45,00;8,44E+12
30534688;373084;Colgante Varas Schuller - acabado cromo 1 luz LED;34;42,00;8,44E+12
30534988;373075;Colgante Varas Schuller - acabado blanco 1 luz LED;0;33,00;8,44E+12
30535105;373067;Colgante Varas Schuller - acabado negro mate 1 luz LED;0;33,00;8,44E+12
30537220;373579;Sobremesa Varas Schuller - Negro mate y oro 2 Luces LED;16;69,00;8,44E+12
30537227;373581;Sobremesa Varas Schuller - Blanco mate y cromo 2 Luces LED;14;69,00;8,44E+12
30537237;373599;Sobremesa Varas Schuller - Blanco mate y oro 2 Luces LED;196;75,00;8,44E+12
30537241;373614;L?mpara de pie Varas Schuller - Blanco mate y oro 2 Luces LED;70;120,00;8,44E+12
30537244;373629;L?mpara de pie Varas Schuller - Blanco mate y cromo 2 Luces LED;70;117,00;8,44E+12
30537247;373685;L?mpara de pie Varas Schuller - Negro mate y oro 2 Luces LED;15;114,00;8,44E+12
30537258;786716;Lampara Colette Schuller - Oro Rosado 60cm ?.  Luz LED;4;174,00;8,44E+12
30537270;786831;Lampara Colette Schuller - Cromo 60cm ?.  Luz LED;7;183,00;8,44E+12
30538749;373378D;Lampara Varas Schuller -  Blanco y cromo 11 luces LED - Con Mando;1;282,00;8,44E+12
30538750;373378;Lampara Varas Schuller -  Blanco y cromo 11 luces LED - Con Mando;36;252,00;8,44E+12
30538823;373437D;Lampara Varas Schuller - Blanco y oro 14 luces LED - Con Mando;1;393,00;8,44E+12
30538824;373437;Lampara Varas Schuller - Blanco y oro 14 luces LED;3;363,00;8,44E+12
30538832;373142D;Lampara Varas Schuller -  Negro mate y oro 5 Luces LED Con Mando;0;180,00;8,44E+12
30538833;373142;Lampara Varas Schuller -  Negro mate y oro 5 Luces LED;35;150,00;8,44E+12
30538861;373416D;Lampara Varas Schuller -  Blanco y cromo 14 luces LED Con Mando;0;366,00;8,44E+12
30538862;373416;Lampara Varas Schuller -  Blanco y cromo 14 luces LED;0;336,00;8,44E+12
30538873;373123D;Lampara Varas Schuller - Blanco mate y cromo 5 Luces LED Con Mando;0;162,00;8,44E+12
30538874;373123;Lampara Varas Schuller - Blanco mate y cromo 5 Luces LED;69;132,00;8,44E+12
